"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
12,5;"Établissements de santé";"Occitanie";193;-0,0231925655426301;-0,0595413176682211
12,5;"Établissements de santé";"Auvergne-Rhône-Alpes";197;-0,376616987872055;-0,386943640999131
15;"bureaux de poste";"Grand Est";249;-0,208854957889322;-0,343927274212458
15;"bureaux de poste";"Nouvelle Aquitaine";368;0,104896064185497;0,0860529385548942
15;"bureaux de poste";"Occitanie";284;0,0928328550728794;0,138862470094633
15;"bureaux de poste";"Auvergne-Rhône-Alpes";301;0,0629970073973955;0,0368648844817119
15;"collèges et lycées publics";"Grand Est";221;0,348856602842868;0,315772381182399
15;"collèges et lycées publics";"Nouvelle Aquitaine";289;0,364706483010787;0,400535822104316
15;"collèges et lycées publics";"Occitanie";240;0,575819971487498;0,470620897284407
15;"collèges et lycées publics";"Auvergne-Rhône-Alpes";252;0,430045525034574;0,323016459995052
15;"Établissements de santé";"Grand Est";133;0,0272320700684159;0,0249117245859376
15;"Établissements de santé";"Nouvelle Aquitaine";171;0,00261798252477665;-0,2058694877941
15;"Établissements de santé";"Occitanie";162;-0,00703523965673603;-0,0150395361823401
15;"Établissements de santé";"Auvergne-Rhône-Alpes";164;-0,348537042389356;-0,342333662107555
17,5;"bureaux de poste";"Grand Est";189;-0,00145547367263645;0,0115783231607218
17,5;"bureaux de poste";"Nouvelle Aquitaine";281;-0,0568674669423489;-0,101641256187692
17,5;"bureaux de poste";"Occitanie";235;0,137331922921652;0,194654767086675
17,5;"bureaux de poste";"Auvergne-Rhône-Alpes";238;0,0141406423589013;-0,0430668580855276
17,5;"collèges et lycées publics";"Grand Est";173;0,592619744762166;0,570817167090851
17,5;"collèges et lycées publics";"Nouvelle Aquitaine";242;0,392985317405271;0,409021723477987
17,5;"collèges et lycées publics";"Occitanie";196;0,493573673695221;0,4141583113943
17,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";199;0,503768748149837;0,405101793878234
17,5;"Établissements de santé";"Grand Est";117;0,0827855515912757;0,102273395539588
17,5;"Établissements de santé";"Nouvelle Aquitaine";157;0,190541446005074;0,0622771560845839
17,5;"Établissements de santé";"Occitanie";135;0,101800513244805;0,065333170894506
17,5;"Établissements de santé";"Auvergne-Rhône-Alpes";135;-0,474234456708319;-0,431634109559497
20;"bureaux de poste";"Grand Est";161;-0,0349401521578938;-0,137325280726642
20;"bureaux de poste";"Nouvelle Aquitaine";240;0,114835477597538;0,0618716847164905
20;"bureaux de poste";"Occitanie";194;0,129676611656955;0,155708928086982
20;"bureaux de poste";"Auvergne-Rhône-Alpes";191;-0,0399881829798154;-0,00774592754144095
20;"collèges et lycées publics";"Grand Est";153;0,627692144332729;0,601114824233187
20;"collèges et lycées publics";"Nouvelle Aquitaine";204;0,317232554403131;0,357455236281311
20;"collèges et lycées publics";"Occitanie";166;0,282720936517488;0,191178510910568
20;"collèges et lycées publics";"Auvergne-Rhône-Alpes";163;0,464877605707957;0,368264538588965
20;"Établissements de santé";"Grand Est";101;0,135488148927489;0,114883267435223
20;"Établissements de santé";"Nouvelle Aquitaine";140;0,157008623556867;0,055228813974797
20;"Établissements de santé";"Occitanie";125;0,0348126069279447;-0,00898561440535511
20;"Établissements de santé";"Auvergne-Rhône-Alpes";123;-0,291702737746349;-0,268646449011278
22,5;"bureaux de poste";"Grand Est";134;-0,117251991228058;-0,279754604827581
22,5;"bureaux de poste";"Nouvelle Aquitaine";195;-0,0144182060953401;-0,0673481734960284
22,5;"bureaux de poste";"Occitanie";161;0,100172533523145;0,127136349631587
22,5;"bureaux de poste";"Auvergne-Rhône-Alpes";159;0,0934249130735233;0,122223722437871
22,5;"collèges et lycées publics";"Grand Est";126;0,546988431822086;0,539710457035283
22,5;"collèges et lycées publics";"Nouvelle Aquitaine";168;0,378903072019523;0,379844593450042
22,5;"collèges et lycées publics";"Occitanie";136;0,3660374545775;0,355614365196184
