"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_75_09";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
40;"collèges et lycées publics";"Occitanie";62;0,527871904234689;0,549742063151723;0,358953000663873
40;"collèges et lycées publics";"Auvergne-Rhône-Alpes";55;0,215516733824374;0,232510010457819;0,181289175789752
45;"bureaux de poste";"Grand Est";45;-0,0304828497843593;0,00362566442527805;-0,0201821011171028
45;"bureaux de poste";"Nouvelle Aquitaine";62;-0,156691112521465;-0,113323616833549;-0,128250284927502
45;"bureaux de poste";"Occitanie";55;0,20103648476848;0,196330058520219;0,143955478862681
45;"bureaux de poste";"Auvergne-Rhône-Alpes";49;0,303459719941885;0,16385334208273;0,106353782954686
45;"collèges et lycées publics";"Grand Est";46;0,553267536438021;0,557214002485733;0,597151772346711
45;"collèges et lycées publics";"Nouvelle Aquitaine";59;0,865368882304535;0,804252582381994;0,848858382303488
45;"collèges et lycées publics";"Occitanie";51;0,509508205241746;0,489743763913292;0,213794722976661
45;"collèges et lycées publics";"Auvergne-Rhône-Alpes";45;0,355898571287812;0,402772793552282;0,387026775689097
50;"bureaux de poste";"Grand Est";36;-0,416259428410887;-0,178023024163653;-0,31910539811401
50;"bureaux de poste";"Nouvelle Aquitaine";52;-0,242637772769025;-0,0580074567484124;0,013385130453922
50;"bureaux de poste";"Occitanie";46;0,60349365828036;0,52724376706497;0,46947785524964
50;"bureaux de poste";"Auvergne-Rhône-Alpes";46;0,177636169851732;0,197256038186254;0,134781677841502
50;"collèges et lycées publics";"Grand Est";37;0,553051602059655;0,417844090128981;0,330704820297889
50;"collèges et lycées publics";"Nouvelle Aquitaine";50;0,575528491527709;0,714898196218938;0,808423167719558
50;"collèges et lycées publics";"Occitanie";46;0,514564333744207;0,624587281052838;0,605999380059747
50;"collèges et lycées publics";"Auvergne-Rhône-Alpes";41;0,242489532764888;0,29139658701359;0,297847921631921
