"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
10;"bureaux de poste";"Grand Est";444;-0,23149371359504;-0,326453717058774
10;"bureaux de poste";"Nouvelle Aquitaine";676;0,153691810640523;0,0875462395658547
10;"bureaux de poste";"Occitanie";528;0,111407305990413;0,137668358077906
10;"bureaux de poste";"Auvergne-Rhône-Alpes";564;-0,0741325679291937;-0,102939344015428
10;"collèges et lycées publics";"Grand Est";363;0,25887810912471;0,300077805548822
10;"collèges et lycées publics";"Nouvelle Aquitaine";461;0,201203015618596;0,1817828183185
10;"collèges et lycées publics";"Occitanie";408;0,316227836571131;0,283530744263278
10;"collèges et lycées publics";"Auvergne-Rhône-Alpes";421;0,13919371137023;0,118687394161371
12,5;"bureaux de poste";"Grand Est";323;-0,134473898891964;-0,261892636107177
12,5;"bureaux de poste";"Nouvelle Aquitaine";479;0,0589592049898362;0,00695119697037156
12,5;"bureaux de poste";"Occitanie";369;0,20547292674168;0,196198708237112
12,5;"bureaux de poste";"Auvergne-Rhône-Alpes";400;-0,00100908422500841;0,00391948216227
12,5;"collèges et lycées publics";"Grand Est";274;-0,0378566134620198;-0,0896014922205703
12,5;"collèges et lycées publics";"Nouvelle Aquitaine";357;0,317006859112416;0,35059855852831
12,5;"collèges et lycées publics";"Occitanie";303;0,490852384495754;0,436185345387584
12,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";314;0,106915608828486;0,14843413274159
15;"bureaux de poste";"Grand Est";249;-0,208854957889322;-0,343927274212458
15;"bureaux de poste";"Nouvelle Aquitaine";368;0,104896064185497;0,0860529385548942
15;"bureaux de poste";"Occitanie";284;0,0928328550728794;0,138862470094633
15;"bureaux de poste";"Auvergne-Rhône-Alpes";301;0,0629970073973955;0,0368648844817119
15;"collèges et lycées publics";"Grand Est";221;0,348856602842868;0,315772381182399
15;"collèges et lycées publics";"Nouvelle Aquitaine";289;0,364706483010787;0,400535822104316
15;"collèges et lycées publics";"Occitanie";240;0,575819971487498;0,470620897284407
15;"collèges et lycées publics";"Auvergne-Rhône-Alpes";252;0,430045525034574;0,323016459995052
17,5;"bureaux de poste";"Grand Est";189;-0,00145547367263645;0,0115783231607218
17,5;"bureaux de poste";"Nouvelle Aquitaine";281;-0,0568674669423489;-0,101641256187692
17,5;"bureaux de poste";"Occitanie";235;0,137331922921652;0,194654767086675
17,5;"bureaux de poste";"Auvergne-Rhône-Alpes";238;0,0141406423589013;-0,0430668580855276
17,5;"collèges et lycées publics";"Grand Est";173;0,592619744762166;0,570817167090851
17,5;"collèges et lycées publics";"Nouvelle Aquitaine";242;0,392985317405271;0,409021723477987
17,5;"collèges et lycées publics";"Occitanie";196;0,493573673695221;0,4141583113943
17,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";199;0,503768748149837;0,405101793878234
20;"bureaux de poste";"Grand Est";161;-0,0349401521578938;-0,137325280726642
20;"bureaux de poste";"Nouvelle Aquitaine";240;0,114835477597538;0,0618716847164905
20;"bureaux de poste";"Occitanie";194;0,129676611656955;0,155708928086982
20;"bureaux de poste";"Auvergne-Rhône-Alpes";191;-0,0399881829798154;-0,00774592754144095
20;"collèges et lycées publics";"Grand Est";153;0,627692144332729;0,601114824233187
20;"collèges et lycées publics";"Nouvelle Aquitaine";204;0,317232554403131;0,357455236281311
20;"collèges et lycées publics";"Occitanie";166;0,282720936517488;0,191178510910568
20;"collèges et lycées publics";"Auvergne-Rhône-Alpes";163;0,464877605707957;0,368264538588965
22,5;"bureaux de poste";"Grand Est";134;-0,117251991228058;-0,279754604827581
22,5;"bureaux de poste";"Nouvelle Aquitaine";195;-0,0144182060953401;-0,0673481734960284
22,5;"bureaux de poste";"Occitanie";161;0,100172533523145;0,127136349631587
22,5;"bureaux de poste";"Auvergne-Rhône-Alpes";159;0,0934249130735233;0,122223722437871
22,5;"collèges et lycées publics";"Grand Est";126;0,546988431822086;0,539710457035283
22,5;"collèges et lycées publics";"Nouvelle Aquitaine";168;0,378903072019523;0,379844593450042
22,5;"collèges et lycées publics";"Occitanie";136;0,3660374545775;0,355614365196184
