"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"08024";"Reims";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"08090";"Carignan";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"08105";"Charleville-Mézières";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"08173";"Charleville-Mézières";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"08185";"Fumay";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"08190";"Givet";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"08239";"Reims";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"08328";"Charleville-Mézières";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"08341";"Charleville-Mézières";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"08361";"Charleville-Mézières";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"08362";"Rethel";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"08363";"Revin";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"08365";"Charleville-Mézières";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"08409";"Sedan";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"08490";"Vouziers";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"09122";"Foix";"Pr<e9>fecture";"211";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"09160";"Lavelanet";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"09167";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
