"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"21154";"Châtillon-sur-Seine";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"21231";"Dijon";"Pr<e9>fecture de r<e9>gion";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"21277";"Dijon";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"21278";"Dijon";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"21292";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21295";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21317";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21408";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21416";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21425";"Montbard";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"21496";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21515";"Dijon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"21554";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
