"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"707",5545,3839,3706,3591,3539,3497,3241,2845,2470,"Chanverrie","petite
(< 30.000 hab.)",13.0388713999228,0.885366088149442,1.05628682037464,0.208596029162789
"708",3659,3677,3688,3558,3285,3155,3066,2731,2458,"Noyal-Pontivy","petite
(< 30.000 hab.)",-0.163443494803805,-0.074649707611929,1.20337351959856,1.1469842422092
"709",3835,3610,3529,3501,3379,2967,2550,2250,2149,"Samoëns","petite
(< 30.000 hab.)",2.03583483322709,0.568943059569071,0.265882934064776,0.507983515386279
"711",3231,3298,3480,3577,3703,4024,4404,4489,3987,"La Clayette","petite
(< 30.000 hab.)",-0.681816256531764,-1.33392504346259,-0.912219351303389,-0.493333971647192
"712",3232,3339,3489,3509,3560,3689,3941,4150,3865,"Gamaches","petite
(< 30.000 hab.)",-1.07980183989559,-1.0925825137477,-0.190349751182195,-0.205922662952074
"713",3516,3528,3521,3429,3326,3202,3197,3066,3041,"Malestroit","petite
(< 30.000 hab.)",-0.113507475529795,0.0496647781597748,0.886451471738425,0.43664040420619
"714",3232,3336,3440,3507,3708,3945,4090,4076,3236,"Contrexéville","petite
(< 30.000 hab.)",-1.05015838646993,-0.764537105189178,-0.640920611309603,-0.793005794407353
"715",3402,3465,3461,3516,3325,3607,3521,3370,2968,"Le Lardin-Saint-Lazare","petite
(< 30.000 hab.)",-0.609771258411407,0.0288808694367537,-0.524168589264495,0.801110507777758
"716",3504,3454,3495,3387,3446,3262,3035,3049,3180,"Luneray","petite
(< 30.000 hab.)",0.480222501626582,-0.294575172430112,1.05178618453003,-0.246403986774602
"717",3787,3729,3548,3319,3077,2932,2777,2599,2258,"Saint-Fulgent","petite
(< 30.000 hab.)",0.515793917764218,1.2516695441287,2.24893336441008,1.08741897639375
"718",3921,3821,3563,3342,3101,2980,2986,2974,2759,"La Bruffière","petite
(< 30.000 hab.)",0.864870407075835,1.763094248765,2.15739084110427,1.07494777721331
"719",3757,3713,3508,3337,3278,3195,3365,3457,3357,"Tartas","petite
(< 30.000 hab.)",0.393458403073588,1.42998029939894,1.67974756484699,0.255163839455319
"720",3612,3573,3442,3411,3307,3247,3208,2835,2545,"Saint-Laurent-sur-Sèvre","petite
(< 30.000 hab.)",0.362524085174054,0.938195752886406,0.302028334365034,0.443323633641612
"721",3280,3365,3436,3402,3255,3269,3617,3733,3467,"Arcis-sur-Aube","petite
(< 30.000 hab.)",-0.849191846002872,-0.520640967813468,0.332033686302391,0.633012513584741
"722",3294,3489,3580,3591,3735,3710,3769,3959,3789,"Orbec","petite
(< 30.000 hab.)",-1.89882515386801,-0.641623702920513,-0.10221155607878,-0.560098471709436
"723",3555,3381,3392,3377,3203,3233,2728,2520,2422,"Abondance","petite
(< 30.000 hab.)",1.6868540341048,-0.0811718928781513,0.147841729164488,0.7585751528699
"724",3062,3224,3343,3397,3616,3664,3868,3875,3658,"Rostrenen","petite
(< 30.000 hab.)",-1.70380252773875,-0.902051452449282,-0.53271208781468,-0.888539707672276
