"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"53",173258,168960,158970,155077,141045,135621,131666,133112,128047,"Béziers","moyenne",0.840842472553938,1.53532929840836,0.829882504897395,1.36411717029659
"54",157436,152259,147850,144393,134336,131278,125647,119314,110573,"Niort","moyenne",1.12076767569831,0.737324243304527,0.791767950486255,1.03668854407777
"55",157007,153052,145943,140659,124944,109738,97083,84701,74063,"Vannes","moyenne",0.85404827334099,1.19613714197757,1.23684014440182,1.70687319274245
"56",146840,145030,141662,140254,137322,132487,119413,109482,93110,"Chartres","moyenne",0.414287175016015,0.589145652579304,0.333517403832428,0.302263490372279
"57",140008,140699,138279,141257,141024,143544,138663,132038,117949,"Bourges","moyenne",-0.163975178248554,0.434678835933,-0.707735108684526,0.0235861762607481
"58",130483,132546,133583,134467,136296,132315,131880,130734,125689,"Boulogne-sur-Mer","moyenne",-0.521528788654713,-0.194641639725301,-0.219618760355389,-0.19281637657248
"59",136710,136239,134775,133123,133024,134856,139681,154851,152065,"Thionville","moyenne",0.115106116453156,0.270464472033871,0.411953152522382,0.010628419154024
"60",135560,134568,132823,131436,128237,126593,122446,117122,103854,"Chalon-sur-Saône","moyenne",0.245123245295709,0.326838773767602,0.350525364563259,0.352619197265658
"61",129003,129752,131454,132891,136622,141742,144154,143054,136429,"Maubeuge (partie française)","moyenne",-0.192789797277171,-0.325270952814072,-0.361752852103703,-0.394772217695538
"62",130887,129944,128409,126655,124104,122884,120266,117122,108882,"Arras","moyenne",0.241316270625047,0.297519366957411,0.459506766344098,0.291093295917833
"63",129864,126774,126571,126067,126055,121918,118574,115703,109985,"Calais","moyenne",0.805956327067303,0.0400719796714855,0.133085276063682,0.00135989510776646
"64",131639,128639,126957,124010,119588,112744,109113,107143,96526,"Colmar","moyenne",0.771403295498918,0.329581562605852,0.785947107241891,0.520057708104082
"65",125874,125007,122631,122959,119028,114698,106423,99678,87927,"Blois","moyenne",0.230654628907123,0.480899864100315,-0.0889977108265216,0.46525334262788
"66",127399,126100,123999,123930,115844,108787,100688,91756,82263,"Quimper","moyenne",0.342205886725044,0.420926967254909,0.0185554206254768,0.968552280187618
"67",128020,126435,123980,123160,118344,112976,105267,101734,91157,"Beauvais","moyenne",0.416135435464215,0.491405451730387,0.22144279711549,0.571465030932861
"68",120397,120849,122258,123361,124331,125992,112467,104477,101322,"Cherbourg-en-Cotentin","moyenne",-0.124829249186287,-0.289373841733842,-0.298933974980187,-0.111828110086054
"69",122036,121131,119026,115915,108377,103263,97353,89777,77506,"Laval","moyenne",0.248424015179838,0.439227989514324,0.886734830655,0.965218106515686
"70",121181,118277,117199,115527,111218,110362,105873,97890,85343,"Creil","moyenne",0.811809600026114,0.229161836154557,0.480118084546044,0.544506069972406
"71",127049,123368,117767,114548,107394,101674,96093,89462,82604,"Bourg-en-Bresse","moyenne",0.984854088430676,1.16836423312521,0.928085148574809,0.925537344493832
"72",115886,115497,115857,115051,112454,112222,112499,108935,102779,"Tarbes","moyenne",0.11214262164263,-0.0777726517628863,0.232976425860842,0.326693328659156
"73",114117,113976,112369,111748,108503,105244,103128,100369,92828,"Belfort","moyenne",0.0412197585773377,0.355625883813415,0.184896138036672,0.421866130012871
"74",109367,110946,111056,111362,113701,116251,117342,119508,113865,"Saint-Quentin","moyenne",-0.476673532052652,-0.0247714849689773,-0.0916772040070346,-0.296502981902691
"75",122001,118942,113619,107584,98175,90893,86233,76765,65052,"La Roche-sur-Yon","moyenne",0.850034519164811,1.1512068028775,1.83594356456909,1.31601767112104
"76",114794,113214,111431,108893,102554,96410,89317,82917,78103,"Vienne","moyenne",0.463048259696031,0.397645213206066,0.770950521949243,0.860484777167181
"77",113809,112468,111833,109970,105382,100865,89341,82609,69612,"Évreux","moyenne",0.395877129686362,0.141651471675375,0.561540286256124,0.610653472370215
"78",114893,114137,111404,107585,100379,100402,96929,92847,92199,"Alès","moyenne",0.220301615062302,0.607745518573277,1.16951937608527,0.995323733228504
"79",113223,112801,110199,107406,98105,94689,88621,84706,81673,"Agen","moyenne",0.124548199259134,0.585139844318827,0.859397660832406,1.30237530877511
"80",103332,105588,105663,106877,109351,110082,109059,109077,104977,"Charleville-Mézières","moyenne",-0.717335543010644,-0.0177498205384152,-0.380071102475033,-0.326384083869957
"81",107401,107132,107065,105057,105965,108738,111522,111262,104383,"Roanne","moyenne",0.0836274152814731,0.0156410318058464,0.633097867765775,-0.122864329926853
"82",99702,101726,103514,105243,108851,113791,114840,111943,112620,"Sarrebruck (ALL) - Forbach (partie française)","moyenne",-0.667667374269709,-0.434651270087261,-0.550648104074458,-0.480385476824741
"83",98102,100768,103156,104099,105757,107566,106590,105135,100629,"Nevers","moyenne",-0.889787457942881,-0.583828076936543,-0.302872542383592,-0.225483120629155
"84",116670,115181,112952,111711,108135,107697,104202,94664,80205,"Cholet","moyenne",0.429072314986856,0.489741693434076,0.368937920444301,0.465863683077772
"85",102382,101243,101569,99417,94214,92723,90297,85783,77929,"Brive-la-Gaillarde","moyenne",0.373607784093721,-0.0803377789610371,0.716395431202987,0.770875127471515
"86",111499,107436,102325,96060,86981,84105,79659,74071,70677,"Montauban","moyenne",1.2450301244636,1.22598683065887,2.12836761260895,1.42843880781234
"87",102895,102492,100060,96661,92592,90719,85978,82067,79501,"Périgueux","moyenne",0.130895728524538,0.602174341138784,1.15866087687797,0.616280773302158
"88",102352,99886,98326,95700,91192,90358,87343,83103,75959,"Mâcon","moyenne",0.816257261895914,0.394301507825312,0.906423029116832,0.69168293159767
"89",98458,98048,97861,98074,96125,92870,85999,79126,67801,"Compiègne","moyenne",0.139193672199878,0.0477376455279677,-0.072446787192304,0.2871667924363
"91",100394,97902,95644,93923,86807,84801,80841,77133,71342,"Albi","moyenne",0.841368649560215,0.58505512931728,0.607090958395173,1.13190141487212
"92",99586,98640,96760,93642,86623,83875,77804,74249,73538,"Carcassonne","moyenne",0.318664445924921,0.482238372350796,1.0978049688815,1.1192693484485
"93",91699,93009,94315,94429,93328,94334,92749,90237,81161,"Châteauroux","moyenne",-0.471710222453592,-0.347992625599169,-0.0402580798027685,0.167684137921986
"94",96229,94160,93194,92318,83840,73967,60289,53780,44506,"Fréjus","moyenne",0.727141077829763,0.258135623134037,0.315302809899176,1.38563961895075
"95",92702,93482,92866,92901,92482,92255,90800,89279,84553,"Épinal","moyenne",-0.278905569729093,0.165419429534208,-0.0125597486500428,0.0645976987140306
"96",92058,92525,93234,92431,90347,89045,85651,77960,70943,"Auxerre","moyenne",-0.168526670096392,-0.19065761104119,0.288750811594718,0.326311353506559
"98",95932,93608,90174,87575,81877,75477,71029,67492,60495,"Bâle (SUI) - Saint-Louis (partie française)","moyenne",0.82080888990439,0.938746662059353,0.979619432962386,0.96573985903845
"99",90500,89709,89139,88177,88241,85577,82333,77802,69377,"Saint-Omer","moyenne",0.29305363930241,0.1594807688448,0.362347935807938,-0.0103644568377304
"100",96193,92501,88413,84550,77309,67952,59700,53576,45051,"Cluses","moyenne",1.31311781081833,1.13641968109461,1.50034188063028,1.28725321246568
"101",93576,91825,88745,86300,77117,74024,65407,61354,60799,"Narbonne","moyenne",0.631631385566389,0.856585450656255,0.935599309735236,1.62021177218084
"102",90970,91508,87165,85927,75987,71929,65692,60321,58762,"Sète","moyenne",-0.196360903218196,1.22300644988693,0.47796447741506,1.77173840701244
"103",93099,89702,85241,80031,71689,66310,55975,52173,45425,"Thonon-les-Bains","moyenne",1.24672015154137,1.28342932254497,2.12453627020681,1.58495410628925
"104",86745,85181,83268,80250,75426,73410,70209,64581,58585,"Rodez","moyenne",0.608322008871753,0.569467400103663,1.23818817889891,0.889572224770241
"105",82963,84401,82451,82448,81259,82715,83163,81189,80017,"Vichy","moyenne",-0.571180015358252,0.586087621636744,0.00121287098704403,0.207732712909015
"106",80180,80862,82322,82071,80990,81026,77726,77039,74820,"Dieppe","moyenne",-0.281931517889122,-0.446360553129077,0.101840501436801,0.189594303533869
"107",81683,81166,81398,80831,81173,82664,81941,78815,69996,"Châlons-en-Champagne","moyenne",0.211872854363215,-0.0713311076017686,0.23327657969292,-0.0602978741560345
"108",77346,79088,79454,79463,79895,83355,87389,90325,90895,"Montluçon","moyenne",-0.739660741617254,-0.115360440636325,-0.00377548452410448,-0.0774238418696838
"109",81095,80720,79103,77770,74412,73737,69334,67429,65490,"Bergerac","moyenne",0.154617105654609,0.507171163787801,0.5681092554362,0.632542633815159
"110",84928,83576,78625,77495,67667,59442,48778,38586,33277,"Draguignan","moyenne",0.536347928897807,1.53838015520016,0.483709343807326,1.95624280011795
"111",78319,78742,76563,75694,76438,74936,72397,71677,68078,"Armentières (partie française)","moyenne",-0.179387415887866,0.704035607385545,0.381225966813203,-0.139631818984121
"112",73555,72019,74801,72489,69826,69241,61612,59670,59494,"Menton - Monaco (partie française)","moyenne",0.70592843051327,-0.943057079907084,1.05204305221356,0.536123353315365
"113",73620,71393,72336,73592,71225,67183,63332,60129,57098,"Saint-Malo","moyenne",1.02915651322908,-0.327515125998046,-0.572169957663238,0.468127219164538
"114",75653,74764,73693,72936,70933,70087,68771,65918,62310,"Le Puy-en-Velay","moyenne",0.394797615872311,0.361368132556406,0.344775346091164,0.398600517740166
"115",74614,73116,72502,70904,69439,70533,79653,88301,87843,"Longwy (partie française)","moyenne",0.678321452575914,0.211049230215887,0.745676364037484,0.298704952682427
"116",79087,76074,72859,70124,64606,60955,58023,53321,51818,"Montélimar","moyenne",1.30314999840511,1.0853598613908,1.283532904477,1.17770696383031
"117",70308,69645,70583,71137,68754,67903,66853,64081,60308,"Châtellerault","moyenne",0.316321918932849,-0.333901608638332,-0.260269807963287,0.487939115953329
"118",75681,73768,71892,69886,65857,63052,59214,56122,53989,"Romans-sur-Isère","moyenne",0.857055366992387,0.646079153869028,0.947784963274168,0.851888353685393
"119",70943,70499,69692,69429,67007,65016,62645,59430,54553,"Montargis","moyenne",0.209492876651174,0.288239407246382,0.126108980419648,0.508539496645821
"120",67656,67269,67792,68085,67203,66156,65551,61763,56949,"Alençon","moyenne",0.191400805295983,-0.193429868456907,-0.143654407875515,0.186445525170043
"121",67698,67593,67464,66960,65773,65656,63518,61198,54445,"Castres","moyenne",0.0517537207193719,0.0477690337462366,0.250269188164665,0.255841093432108
"122",70005,70724,68580,65849,61242,58751,55253,52450,49414,"Mont-de-Marsan","moyenne",-0.340030905938371,0.772569807942558,1.36377251760684,1.04154403314702
"123",66290,66551,65986,65737,66864,67459,68787,69829,66723,"Cambrai","moyenne",-0.130898079327235,0.213376642413943,0.126101622506081,-0.242544994970317
"124",65688,65052,65508,63978,62660,63197,61709,61660,59992,"Dole","moyenne",0.324836799636641,-0.174480668225441,0.790877655841804,0.297813854669404
"125",65078,64877,65063,65350,64392,64528,62747,60280,55499,"Aurillac","moyenne",0.103165877548506,-0.0715459370993043,-0.146606055046539,0.211194677869164
"126",64322,64216,64160,62440,58461,56223,54751,51122,43161,"Lannion","moyenne",0.0549923847831257,0.0218133105320817,0.909910339688103,0.945098549456747
"127",63677,63638,63334,62791,63435,64488,64258,61971,56166,"Soissons","moyenne",0.0204238745054708,0.119783344195001,0.287430914493436,-0.145665354747271
"128",65460,64937,63304,60742,54362,51686,48225,45897,43156,"Dax","moyenne",0.267747804380836,0.638757681228008,1.38663015898397,1.59791811900263
"129",64049,62417,62290,61482,59598,56797,52354,48038,42835,"Sens","moyenne",0.8640697584966,0.050932338684273,0.436163443273041,0.445596019471206
"130",62175,61863,61692,61638,62245,64547,65156,64483,62544,"Moulins","moyenne",0.167831579922306,0.069223944342589,0.0291942406620782,-0.139897015215806
"131",65952,63512,61317,60143,54204,47141,42877,39512,38417,"La Teste-de-Buch - Arcachon","moyenne",1.26453987866335,0.883170522117416,0.646483045593582,1.49637602176154
"132",62853,62524,61539,60086,55322,53717,50961,48559,47074,"Saintes","moyenne",0.175092560353995,0.397773097149901,0.799655328659554,1.18707923047081
"133",59636,59721,59801,59509,55160,49436,47590,44333,40375,"Haguenau","moyenne",-0.0474653574251471,-0.0334610476645403,0.163293899783068,1.09003388605018
"134",60318,60295,58826,60611,58712,61789,55362,51223,42062,"Dreux","moyenne",0.0127136446413711,0.618536271666503,-0.991467586290684,0.455782105746194
"135",59208,59518,59244,58586,57311,56596,55433,51045,47047,"Vesoul","moyenne",-0.17391924870811,0.115423530368308,0.372985495240763,0.314825721589185
"136",63849,62306,59783,56324,52172,46826,42341,38456,34731,"Gap","moyenne",0.818773475275658,1.03876786313433,2.00655288295795,1.09993066389169
"137",56807,57368,58167,58181,54451,52866,49870,47178,42575,"Berck","moyenne",-0.327034041916641,-0.345191017104396,-0.00802158956967336,0.951031351972431
"138",58645,57661,57808,56797,55136,54344,54035,52310,49937,"Lons-le-Saunier","moyenne",0.565636545508852,-0.0636332279680851,0.589855066678813,0.424909435119325
"139",61374,59498,57438,56207,51181,49260,47693,46268,44264,"Aubenas","moyenne",1.04015890233904,0.884806306907659,0.724773893474651,1.34717854954165
"140",55971,56607,56683,55781,53229,53361,51920,49334,47700,"Villeneuve-sur-Lot","moyenne",-0.375923399342049,-0.0335366169882723,0.536133161995678,0.671242070225153
"141",55753,55441,55876,54712,53057,54309,52547,51673,47266,"Arles","moyenne",0.187236011948344,-0.195198180778067,0.704197426619002,0.439767816591097
"142",55858,56177,55556,53989,49882,48855,47844,47075,47114,"Rochefort","moyenne",-0.189642097806786,0.278283978244342,0.958268905190018,1.13669910759144
"143",61555,59149,56728,53935,50017,45331,44606,42882,36988,"Salon-de-Provence","moyenne",1.33791774820851,1.0502712353101,1.69718454142591,1.08320565087425
"144",52926,53969,54441,55357,59300,63382,64589,64190,61935,"Saint-Dizier","moyenne",-0.64839201290392,-0.217456689974682,-0.554641904869957,-0.978130407378719
"145",49881,51416,52690,52063,51253,50879,51163,51095,49897,"Saint-Dié-des-Vosges","moyenne",-1.00522151110753,-0.610038566281812,0.399835902696144,0.22425637690584
"146",52633,52292,52446,52182,51073,50903,49858,49187,47581,"Laon","moyenne",0.216898343263261,-0.0734898111707682,0.168356927769708,0.307351731280603
"147",52620,51747,50399,50345,49433,50183,49776,46973,41859,"Saint-Lô","moyenne",0.559218359538161,0.662060138694098,0.0357405268403221,0.261499772942986
"148",53623,52300,49743,48118,44118,37936,31584,27894,26405,"Saint-Cyprien","moyenne",0.836200435496859,1.26105054425132,1.11326527745124,1.2475530347698
"149",49191,48057,48217,48484,47741,44989,36298,29152,25079,"Louviers","moyenne",0.780458944944806,-0.083061724174216,-0.183903710824207,0.220861814347018
"150",48271,47752,47737,47952,47395,48219,47789,47761,45521,"Cognac","moyenne",0.360983829298966,0.00785461634946749,-0.149678936627673,0.167050412138892
"151",49968,48982,47902,46685,42454,39330,36749,35024,32922,"Royan","moyenne",0.666542132053349,0.558946974106234,0.861501187248992,1.36641957737407
"152",50278,NA,48036,21465,42933,38769,35318,33205,30417,"Les Sables-d'Olonne","moyenne",NA,NA,30.8012761353617,-9.42853772405219
"153",51042,49115,47851,45494,41445,33265,27336,22732,19883,"Lunel","moyenne",1.29107452253778,0.653940686029286,1.6979733423645,1.34052267931406
"154",44368,45113,46050,46150,47706,51913,55853,55857,55442,"Montceau-les-Mines","moyenne",-0.553527839069146,-0.51261435998804,-0.0722804733229943,-0.472597088964288
"155",43460,43449,44119,44236,44254,45541,45782,44426,41151,"Flers","moyenne",0.0084383007197264,-0.381836448184347,-0.088241329171479,-0.00581162591313245
"156",44729,45170,45579,44803,45570,44189,44481,43546,42071,"Sarreguemines (partie française)","moyenne",-0.326502113193117,-0.225094642779822,0.574040757833183,-0.242199135037346
"157",47214,45680,45504,44470,42336,41443,39648,37680,36001,"Annonay","moyenne",1.10707971869521,0.0965548633989011,0.769123665752214,0.705002331073157
"158",43429,41582,41821,41788,42315,42462,43418,42779,41637,"Saumur","moyenne",1.45921202921298,-0.143178012271528,0.0263164202679578,-0.17887434519418
"159",43969,44172,45231,44684,42136,38849,34914,32634,30570,"Sallanches","moyenne",-0.153424318703321,-0.59053912938396,0.406396786419538,0.842284760732159
"160",41694,42746,42977,43895,42255,42259,41870,40446,37920,"Lisieux","moyenne",-0.827172947727461,-0.134645898900576,-0.702035122581868,0.545449738103554
"161",42133,42522,43527,44150,45034,46034,46145,44432,43583,"Chaumont","moyenne",-0.305874828012842,-0.582294210805068,-0.472596128489566,-0.282811233254798
"162",44276,44255,43603,42023,39620,37505,35239,32733,30206,"Cahors","moyenne",0.0158149205113034,0.371749382620057,1.23789486494619,0.844734287675286
"163",44725,43753,42266,42414,41049,41225,42113,41457,40712,"Fougères","moyenne",0.73510363535354,0.868177023897676,-0.116449347628045,0.46840820824452
"164",41348,41827,42136,41648,41318,40646,41074,40845,39126,"Abbeville","moyenne",-0.383197627317855,-0.183841258583117,0.38905934284037,0.113708998040685
"165",41404,41212,41836,42130,41434,39137,34936,31330,27591,"Oyonnax","moyenne",0.155054032606494,-0.374988575461399,-0.233156536874868,0.238258759962084
"166",40419,40199,40566,41035,40265,41413,41389,42437,41668,"Verdun","moyenne",0.182093981706233,-0.22694602828498,-0.382436300711686,0.270977279154883
"167",41470,41576,40853,39600,38405,38925,37180,35876,34403,"Auch","moyenne",-0.0850572540540329,0.439533619970844,1.04378110876362,0.438694585509314
"168",39730,39842,39994,39503,38672,39869,41097,38931,35835,"Morlaix","moyenne",-0.093791402778387,-0.0951499687624646,0.412609715347467,0.304187348335527
"169",39914,40322,40087,39540,38311,37033,35507,33427,31605,"Vendôme","moyenne",-0.338428906091437,0.146235156528407,0.45902612812303,0.452101143455996
"170",42026,41143,40079,38454,35608,34341,31683,29845,27212,"Albertville","moyenne",0.710333352624493,0.657182452558991,1.38922070884995,1.10451796774245
"171",37676,38315,38681,37858,37391,36797,36218,35652,34104,"Sarrebourg","moyenne",-0.559037452764866,-0.237394247672706,0.719449196625965,0.177475650997794
"172",37242,37804,38190,38854,42191,45532,48688,48199,45256,"Le Creusot","moyenne",-0.498014457775753,-0.253647372666543,-0.572930138734784,-1.17018370133272
"173",36814,37614,38455,37450,36386,34022,33170,33601,33249,"Dives-sur-Mer","moyenne",-0.714042314182384,-0.551284941308605,0.886641469812921,0.412600643581529
"174",36125,37041,37677,38424,38888,38632,37892,36774,36103,"Saint-Avold (partie française)","moyenne",-0.831201617460231,-0.424706098199557,-0.652277893457798,-0.171330994601315
"175",35777,36271,37229,37379,38902,39623,39705,41197,37745,"Épernay","moyenne",-0.456066678673683,-0.649618385825179,-0.133944278827813,-0.568898661995687
"176",37813,37929,36916,35417,32653,30912,28893,27174,23280,"Manosque","moyenne",-0.102048966381907,0.679068524991422,1.39136159631548,1.16755180426722
"177",37396,36418,36150,35283,33238,32934,33366,32493,32326,"Libourne","moyenne",0.887266039879386,0.184825825383284,0.812472356401583,0.856611841113586
"178",34925,35676,35292,36162,37490,40127,41074,41445,39227,"Vierzon","moyenne",-0.706667567577135,0.270913420070817,-0.808465342882791,-0.513894833766415
"179",35657,35650,35593,34009,33035,31760,29358,26351,24090,"Beaune","moyenne",0.00654468620098214,0.0400119413892064,1.52903167460325,0.41597119683523
"180",36348,36315,35725,33804,32089,32407,30909,29761,28245,"Marmande","moyenne",0.0302813430389737,0.410343493889176,1.85946281651468,0.746570852644268
"181",35759,34735,34809,33911,33572,33311,30804,27922,25230,"Château-Thierry","moyenne",0.973176918874241,-0.0531895965329321,0.875023762747018,0.143632471455923
"182",32763,33638,33861,33950,34990,36237,36400,35718,35682,"Bar-le-Duc","moyenne",-0.874703692539869,-0.165051872740918,-0.0874598769718071,-0.430121635465597
"183",35566,35054,33262,31595,28376,26591,25124,24854,23764,"Pamiers","moyenne",0.48451652595054,1.32049567946118,1.72866217688978,1.54691653163586
"184",33618,33679,33287,32665,32568,31829,30193,30196,30414,"Saint-Amand-les-Eaux","moyenne",-0.0604104092511548,0.293117936696041,0.630739573164263,0.0424941275121826
"185",30001,31540,32423,33391,33541,34510,36345,36370,35005,"Sedan","moyenne",-1.6537025991649,-0.687909643325346,-0.975819516121001,-0.0640104831585053
"186",31628,32380,32459,33342,34319,35418,35962,35774,33163,"Vitry-le-François","moyenne",-0.780211890541083,-0.0609016028196518,-0.890680036068303,-0.411739634712738
"187",31662,32135,33731,32417,32385,30882,29446,28884,23820,"Vernon","moyenne",-0.493065593457254,-1.20447534281809,1.3332873627488,0.0141099084832064
"188",33028,33210,32453,31831,30077,27947,27599,26363,25373,"Granville","moyenne",-0.1830106254047,0.578118356046087,0.6471594556547,0.81299986354666
"189",30234,30686,31579,32113,32145,32464,32589,32889,30741,"Eu","moyenne",-0.493425490310506,-0.714580102880558,-0.557393759582792,-0.0142273452181096
"190",31871,31499,32102,31806,31575,32205,32801,31217,30568,"Guéret","moyenne",0.392123671384281,-0.472941448105102,0.309256623246323,0.104186851076471
"191",31337,30592,31428,31426,30464,32371,33015,32853,32644,"Tulle","moyenne",0.805257267533999,-0.671750561626361,0.002121340687955,0.445129444657444
"192",31794,31961,31541,31051,30446,29619,29122,28843,27608,"Thann - Cernay","moyenne",-0.174474841417183,0.331250493811841,0.523273412069036,0.281486736929737
"193",32768,31785,31489,30566,28866,27457,25667,23770,23288,"Dinard","moyenne",1.02043626837978,0.234178818587294,0.996599920191743,0.820834065641196
"194",32548,32133,31547,30778,28659,27465,25294,22111,20165,"Tournon-sur-Rhône","moyenne",0.428662252263234,0.461186259088597,0.826004354662402,1.0242472835774
"195",30707,31180,30893,30193,28261,26005,24398,22156,20965,"Sablé-sur-Sarthe","moyenne",-0.508244776555222,0.231448494621578,0.766909521392845,0.949152538467968
"196",31305,30577,30296,30065,28630,27143,25659,24623,22403,"Pontarlier","moyenne",0.787408443842419,0.231076615269998,0.255458611137938,0.701111866868476
"197",30302,30129,29430,28401,27059,27335,26749,26649,25811,"Saint-Gaudens","moyenne",0.191034033232906,0.588565300123944,1.1934051402487,0.693891903293609
"198",30218,30750,31039,30813,29730,27232,26551,26766,25438,"Guebwiller","moyenne",-0.580051863098341,-0.233588856851663,0.243890244547873,0.512452021640897
"199",34135,34556,34489,33828,33135,32412,32817,32077,31906,"Vire Normandie","moyenne",-0.407764560933044,0.0485308694051945,0.647137299866829,0.296133846539237
"200",30902,29977,29009,28475,26416,24226,23575,23194,23324,"Beaucaire","moyenne",1.01816457137964,0.823983568231146,0.621242332910987,1.07800652613803
"201",28616,28687,28706,28034,26522,25823,24703,23797,22228,"Redon","petite
(< 30.000 hab.)",-0.0825677779771272,-0.0165511719977363,0.792728952137978,0.795194754492856
"202",28907,28793,28379,28410,27364,27299,26672,26719,27285,"Millau","petite
(< 30.000 hab.)",0.131802726162711,0.362727946664254,-0.0363854067965019,0.537337291285422
"203",29276,28214,27992,28305,28295,27286,25999,23783,20568,"Romorantin-Lanthenay","petite
(< 30.000 hab.)",1.23927478741162,0.197683977319274,-0.369970995353397,0.00504808304193638
"204",29456,28943,27675,26697,24690,23012,20774,19258,18245,"Vitré","petite
(< 30.000 hab.)",0.587359762916351,1.12626767110948,1.20649611693737,1.12272573085102
"205",26995,27160,27642,27241,25790,26254,26458,24759,22333,"Fontenay-le-Comte","petite
(< 30.000 hab.)",-0.202915148963867,-0.438810712271231,0.488293749102509,0.785013362203535
"206",27408,27872,27579,27379,26088,24811,23759,21607,20415,"Mayenne","petite
(< 30.000 hab.)",-0.558025855475131,0.264548992920299,0.242905116473247,0.692398322256715
"207",27113,27529,27373,27225,28309,28009,28043,27725,26958,"Fécamp","petite
(< 30.000 hab.)",-0.506270005641596,0.142172679104968,0.180878631334402,-0.556220284429054
"208",31054,28372,26329,24982,23447,22396,22130,21397,20261,"Pont-Audemer","moyenne",3.05661317711658,1.88585555701875,1.76592555355735,0.910015845562606
"209",28912,28432,27212,26035,22201,19323,16935,15259,13675,"Saint-Hilaire-de-Riez","petite
(< 30.000 hab.)",0.559608740434103,1.10246330057568,1.48479063339506,2.30187130215511
"210",26088,25923,26137,26657,25807,24760,23893,23914,22591,"Concarneau","petite
(< 30.000 hab.)",0.211718239214131,-0.205322161112553,-0.654510200421676,0.464016198301787
"211",28580,21266,21605,21740,21732,21895,22032,21917,21352,"Thouars","petite
(< 30.000 hab.)",10.3550313069855,-0.394599804673845,-0.207421660314311,0.00525803828408389
"212",28537,24732,24118,23515,22324,23376,23567,22783,19825,"Dinan","petite
(< 30.000 hab.)",4.88571887069393,0.630466677394459,0.847569512284863,0.745280384682734
"213",26551,26669,26708,26073,26217,25134,24535,24191,23105,"Hazebrouck","petite
(< 30.000 hab.)",-0.147705155593902,-0.036525923103703,0.805320395473363,-0.0786513277597045
"214",27877,27209,26367,25932,24596,23826,23625,23162,21304,"Issoire","petite
(< 30.000 hab.)",0.811749469457057,0.7889603353463,0.556056987508557,0.758489197854906
"215",27790,27751,26310,26155,24177,22698,20674,18662,16703,"Montbrison","petite
(< 30.000 hab.)",0.0468232311613859,1.34199449947112,0.197151362563153,1.12974262924761
"216",28546,27600,26043,25024,20969,19138,17291,16601,14393,"Auray","petite
(< 30.000 hab.)",1.12970175817619,1.46225675025153,1.33934505979785,2.55773722124224
"217",27458,27139,26044,25933,24471,24028,22797,23215,23880,"Castelsarrasin","petite
(< 30.000 hab.)",0.390284859882772,1.03492852938223,0.142472275832151,0.832410370786829
"218",25053,25298,25869,26204,23640,22534,20090,19058,17765,"Digne-les-Bains","petite
(< 30.000 hab.)",-0.323866430450925,-0.55644605705556,-0.427972583710412,1.48189968178543
"219",25141,25538,25831,25957,26216,27842,28719,29497,29362,"Mazamet","petite
(< 30.000 hab.)",-0.520890614767699,-0.284788257393298,-0.162068584237163,-0.141736439497553
"220",26309,26268,25867,25610,24612,24302,24475,22910,21088,"Guingamp","petite
(< 30.000 hab.)",0.0520007703585845,0.385326563550747,0.333392013183831,0.569454855400653
"221",24175,24648,25387,25372,25569,26050,26588,26927,26086,"La Bresse","petite
(< 30.000 hab.)",-0.643809274989415,-0.735816285752666,0.0197028810710043,-0.110431500014119
"222",24229,25152,25231,24875,24944,25585,26457,26540,26736,"Lunéville","petite
(< 30.000 hab.)",-1.23850505488394,-0.0783687999888372,0.474794064509787,-0.0395640181026113
"223",25991,25593,25260,25044,23458,23327,23941,24041,23679,"Figeac","petite
(< 30.000 hab.)",0.515706801856153,0.327955593274254,0.286671420216367,0.938990970093934
"224",25636,25090,25117,25442,25203,24896,24318,23608,19894,"Lillebonne","petite
(< 30.000 hab.)",0.72018942158445,-0.02688506877081,-0.427631176738386,0.134924036160577
"225",23616,24025,24767,25085,26757,28384,29656,29973,29540,"Autun","petite
(< 30.000 hab.)",-0.570715411189648,-0.757545228566936,-0.424361564869202,-0.917565345859583
"226",27593,26567,25507,24155,21792,19493,17799,16146,12287,"Challans","petite
(< 30.000 hab.)",1.2710862682797,1.02312145500525,1.8319624766421,1.48156029364561
"227",25288,18875,18708,17701,16827,16463,16100,15641,14614,"Château-Gontier-sur-Mayenne","petite
(< 30.000 hab.)",10.2408384131673,0.222423376396685,1.86144975991336,0.725999777417963
"228",25176,24944,24647,23794,21521,20377,19717,18717,17429,"Saint-Marcellin","petite
(< 30.000 hab.)",0.309071559170859,0.299901885785547,1.18097715214678,1.44468247026226
"229",24316,24132,24125,24047,22944,23833,24574,23236,22071,"Châteaubriant","petite
(< 30.000 hab.)",0.253514449400649,0.00725309686098186,0.108004902623349,0.673023035429376
"230",24115,24393,24032,23410,24107,23879,23643,22875,21048,"Pont-à-Mousson","petite
(< 30.000 hab.)",-0.381342780353755,0.373443828094144,0.877931210260763,-0.41825107294684
"231",20401,20010,20674,20625,20931,20869,21280,20675,19116,"Châteaudun","petite
(< 30.000 hab.)",0.647144008461287,-0.81279688621182,0.0791292882339034,-0.210169995846266
