"LIBAU2010","geometry","tailles_2016","RGPP","TCAM","annees"
"Agde","MULTIPOLYGON(((737015 6249215,738654 6249926,738882 6250502,739980 6250527,740885 6248753,741554 6248211,742307 6248236,742683 6247553,742282 6246406,743028 6246110,743803 6244934,742059 6242219,741523 6242980,740692 6242495,740369 6241866,739208 6241685,737075 6242575,736089 6242626,735482 6243340,734844 6243500,735649 6244443,736020 6246585,735618 6247727,736593 6248207,737015 6249215)))","petite
(< 30.000 hab.)","oui ",-5.67776336396099,"2009-2013"
"Agde","MULTIPOLYGON(((737015 6249215,738654 6249926,738882 6250502,739980 6250527,740885 6248753,741554 6248211,742307 6248236,742683 6247553,742282 6246406,743028 6246110,743803 6244934,742059 6242219,741523 6242980,740692 6242495,740369 6241866,739208 6241685,737075 6242575,736089 6242626,735482 6243340,734844 6243500,735649 6244443,736020 6246585,735618 6247727,736593 6248207,737015 6249215)))","petite
(< 30.000 hab.)","oui ",-7.30880241280002,"2013-2018"
"Agen","MULTIPOLYGON(((500252 6327714,500262 6328320,499906 6329526,500066 6331127,499904 6331864,498570 6332119,497835 6331664,496481 6331777,496123 6332841,497114 6334067,496805 6334775,495730 6334874,495545 6335526,496492 6336004,496114 6338126,495536 6338783,495597 6339946,494980 6340440,495154 6341943,495080 6342432,493816 6344316,493268 6345617,493305 6346222,490805 6346693,491041 6347536,490267 6348663,491261 6349502,492057 6351019,492031 6351511,493096 6351316,493572 6350765,494209 6351830,493223 6352657,494304 6353898,496659 6354431,497440 6355002,499245 6355125,499481 6355204,499660 6356240,498668 6356557,498352 6357114,498656 6357873,497713 6359357,498398 6360007,499026 6359879,500486 6358864,501186 6359764,502678 6359802,502718 6360651,503228 6361469,504063 6361035,504535 6360248,506338 6360286,506448 6360211,507276 6360136,507733 6359275,508316 6359810,509376 6359866,510339 6360347,512002 6359757,511908 6358542,513771 6359134,514250 6359603,514335 6361795,515131 6361285,516096 6361910,517342 6362103,518125 6360706,520386 6361921,521725 6360875,521653 6359940,522776 6359198,524099 6359440,524613 6359192,524862 6358093,526261 6356634,526778 6357170,526752 6358506,527493 6359343,528639 6358371,530050 6358976,530543 6360183,530396 6360591,531212 6361116,531077 6360701,532033 6359917,533220 6360056,533535 6359571,533784 6358117,532064 6357563,530948 6356065,529436 6355883,528836 6355302,529006 6354334,527844 6353978,528968 6352280,529627 6351205,530136 6351285,531114 6352310,532536 6351643,533061 6351978,533909 6351554,533792 6350988,534603 6350097,533876 6348567,532546 6346375,532388 6345692,531212 6345735,530224 6346093,529056 6346105,528930 6346089,528385 6345112,528340 6344107,529225 6343933,528799 6343563,528995 6342480,528108 6341974,526347 6342002,525133 6341079,523933 6341464,522987 6340698,523044 6340678,523767 6339288,523367 6337982,523803 6337077,521930 6337826,521018 6336935,520378 6336765,519695 6335258,519730 6334574,518863 6333330,519118 6332166,517081 6331350,516358 6331487,515537 6330262,514568 6330189,513998 6329059,514013 6328343,512538 6327823,511957 6328863,512003 6329860,511207 6330011,510240 6330684,509471 6329103,508460 6329281,507985 6328904,506966 6329945,504952 6329945,504307 6330999,504409 6331822,503273 6331673,502790 6331288,502350 6329540,502704 6328646,502705 6327914,502173 6327067,500685 6327777,500252 6327714)))","moyenne","non ",-3.42948485957172,"2009-2013"
"Agen","MULTIPOLYGON(((500252 6327714,500262 6328320,499906 6329526,500066 6331127,499904 6331864,498570 6332119,497835 6331664,496481 6331777,496123 6332841,497114 6334067,496805 6334775,495730 6334874,495545 6335526,496492 6336004,496114 6338126,495536 6338783,495597 6339946,494980 6340440,495154 6341943,495080 6342432,493816 6344316,493268 6345617,493305 6346222,490805 6346693,491041 6347536,490267 6348663,491261 6349502,492057 6351019,492031 6351511,493096 6351316,493572 6350765,494209 6351830,493223 6352657,494304 6353898,496659 6354431,497440 6355002,499245 6355125,499481 6355204,499660 6356240,498668 6356557,498352 6357114,498656 6357873,497713 6359357,498398 6360007,499026 6359879,500486 6358864,501186 6359764,502678 6359802,502718 6360651,503228 6361469,504063 6361035,504535 6360248,506338 6360286,506448 6360211,507276 6360136,507733 6359275,508316 6359810,509376 6359866,510339 6360347,512002 6359757,511908 6358542,513771 6359134,514250 6359603,514335 6361795,515131 6361285,516096 6361910,517342 6362103,518125 6360706,520386 6361921,521725 6360875,521653 6359940,522776 6359198,524099 6359440,524613 6359192,524862 6358093,526261 6356634,526778 6357170,526752 6358506,527493 6359343,528639 6358371,530050 6358976,530543 6360183,530396 6360591,531212 6361116,531077 6360701,532033 6359917,533220 6360056,533535 6359571,533784 6358117,532064 6357563,530948 6356065,529436 6355883,528836 6355302,529006 6354334,527844 6353978,528968 6352280,529627 6351205,530136 6351285,531114 6352310,532536 6351643,533061 6351978,533909 6351554,533792 6350988,534603 6350097,533876 6348567,532546 6346375,532388 6345692,531212 6345735,530224 6346093,529056 6346105,528930 6346089,528385 6345112,528340 6344107,529225 6343933,528799 6343563,528995 6342480,528108 6341974,526347 6342002,525133 6341079,523933 6341464,522987 6340698,523044 6340678,523767 6339288,523367 6337982,523803 6337077,521930 6337826,521018 6336935,520378 6336765,519695 6335258,519730 6334574,518863 6333330,519118 6332166,517081 6331350,516358 6331487,515537 6330262,514568 6330189,513998 6329059,514013 6328343,512538 6327823,511957 6328863,512003 6329860,511207 6330011,510240 6330684,509471 6329103,508460 6329281,507985 6328904,506966 6329945,504952 6329945,504307 6330999,504409 6331822,503273 6331673,502790 6331288,502350 6329540,502704 6328646,502705 6327914,502173 6327067,500685 6327777,500252 6327714)))","moyenne","non ",-0.0746545410187593,"2013-2018"
"Agen","MULTIPOLYGON(((500252 6327714,500262 6328320,499906 6329526,500066 6331127,499904 6331864,498570 6332119,497835 6331664,496481 6331777,496123 6332841,497114 6334067,496805 6334775,495730 6334874,495545 6335526,496492 6336004,496114 6338126,495536 6338783,495597 6339946,494980 6340440,495154 6341943,495080 6342432,493816 6344316,493268 6345617,493305 6346222,490805 6346693,491041 6347536,490267 6348663,491261 6349502,492057 6351019,492031 6351511,493096 6351316,493572 6350765,494209 6351830,493223 6352657,494304 6353898,496659 6354431,497440 6355002,499245 6355125,499481 6355204,499660 6356240,498668 6356557,498352 6357114,498656 6357873,497713 6359357,498398 6360007,499026 6359879,500486 6358864,501186 6359764,502678 6359802,502718 6360651,503228 6361469,504063 6361035,504535 6360248,506338 6360286,506448 6360211,507276 6360136,507733 6359275,508316 6359810,509376 6359866,510339 6360347,512002 6359757,511908 6358542,513771 6359134,514250 6359603,514335 6361795,515131 6361285,516096 6361910,517342 6362103,518125 6360706,520386 6361921,521725 6360875,521653 6359940,522776 6359198,524099 6359440,524613 6359192,524862 6358093,526261 6356634,526778 6357170,526752 6358506,527493 6359343,528639 6358371,530050 6358976,530543 6360183,530396 6360591,531212 6361116,531077 6360701,532033 6359917,533220 6360056,533535 6359571,533784 6358117,532064 6357563,530948 6356065,529436 6355883,528836 6355302,529006 6354334,527844 6353978,528968 6352280,529627 6351205,530136 6351285,531114 6352310,532536 6351643,533061 6351978,533909 6351554,533792 6350988,534603 6350097,533876 6348567,532546 6346375,532388 6345692,531212 6345735,530224 6346093,529056 6346105,528930 6346089,528385 6345112,528340 6344107,529225 6343933,528799 6343563,528995 6342480,528108 6341974,526347 6342002,525133 6341079,523933 6341464,522987 6340698,523044 6340678,523767 6339288,523367 6337982,523803 6337077,521930 6337826,521018 6336935,520378 6336765,519695 6335258,519730 6334574,518863 6333330,519118 6332166,517081 6331350,516358 6331487,515537 6330262,514568 6330189,513998 6329059,514013 6328343,512538 6327823,511957 6328863,512003 6329860,511207 6330011,510240 6330684,509471 6329103,508460 6329281,507985 6328904,506966 6329945,504952 6329945,504307 6330999,504409 6331822,503273 6331673,502790 6331288,502350 6329540,502704 6328646,502705 6327914,502173 6327067,500685 6327777,500252 6327714)))","moyenne","oui ",-3.42948485957172,"2009-2013"
"Agen","MULTIPOLYGON(((500252 6327714,500262 6328320,499906 6329526,500066 6331127,499904 6331864,498570 6332119,497835 6331664,496481 6331777,496123 6332841,497114 6334067,496805 6334775,495730 6334874,495545 6335526,496492 6336004,496114 6338126,495536 6338783,495597 6339946,494980 6340440,495154 6341943,495080 6342432,493816 6344316,493268 6345617,493305 6346222,490805 6346693,491041 6347536,490267 6348663,491261 6349502,492057 6351019,492031 6351511,493096 6351316,493572 6350765,494209 6351830,493223 6352657,494304 6353898,496659 6354431,497440 6355002,499245 6355125,499481 6355204,499660 6356240,498668 6356557,498352 6357114,498656 6357873,497713 6359357,498398 6360007,499026 6359879,500486 6358864,501186 6359764,502678 6359802,502718 6360651,503228 6361469,504063 6361035,504535 6360248,506338 6360286,506448 6360211,507276 6360136,507733 6359275,508316 6359810,509376 6359866,510339 6360347,512002 6359757,511908 6358542,513771 6359134,514250 6359603,514335 6361795,515131 6361285,516096 6361910,517342 6362103,518125 6360706,520386 6361921,521725 6360875,521653 6359940,522776 6359198,524099 6359440,524613 6359192,524862 6358093,526261 6356634,526778 6357170,526752 6358506,527493 6359343,528639 6358371,530050 6358976,530543 6360183,530396 6360591,531212 6361116,531077 6360701,532033 6359917,533220 6360056,533535 6359571,533784 6358117,532064 6357563,530948 6356065,529436 6355883,528836 6355302,529006 6354334,527844 6353978,528968 6352280,529627 6351205,530136 6351285,531114 6352310,532536 6351643,533061 6351978,533909 6351554,533792 6350988,534603 6350097,533876 6348567,532546 6346375,532388 6345692,531212 6345735,530224 6346093,529056 6346105,528930 6346089,528385 6345112,528340 6344107,529225 6343933,528799 6343563,528995 6342480,528108 6341974,526347 6342002,525133 6341079,523933 6341464,522987 6340698,523044 6340678,523767 6339288,523367 6337982,523803 6337077,521930 6337826,521018 6336935,520378 6336765,519695 6335258,519730 6334574,518863 6333330,519118 6332166,517081 6331350,516358 6331487,515537 6330262,514568 6330189,513998 6329059,514013 6328343,512538 6327823,511957 6328863,512003 6329860,511207 6330011,510240 6330684,509471 6329103,508460 6329281,507985 6328904,506966 6329945,504952 6329945,504307 6330999,504409 6331822,503273 6331673,502790 6331288,502350 6329540,502704 6328646,502705 6327914,502173 6327067,500685 6327777,500252 6327714)))","moyenne","oui ",-1.09451443177621,"2013-2018"
"Agon-Coutainville","MULTIPOLYGON(((363650 6894293.999999,363757 6894291.999999,364129 6894282.999999,364361 6894987.999999,364187 6895940.999999,363371 6896888.999999,363492 6898626.999999,363763 6899576.999999,365064 6902494.999999,366569 6901329.999999,366244 6899932.999999,366937 6899538.999999,367836 6899730.999999,368273 6899253.999999,369668 6899978.999999,369878 6900644.999999,370743 6901129.999999,371385 6901103.999999,371610 6900210.999999,372258 6899864.999999,372437 6897824.999999,373301 6897840.999999,374937 6897471.999999,373848 6897043.999999,372848 6896273.999999,372529 6896871.999999,371516 6897215.999999,369635 6896252.999999,369431 6896334.999999,369002 6895759.999999,368362 6895950.999999,367979 6894638.999999,367145 6894100.999999,366907 6892990.999999,368130 6893254.999999,369287 6894143.999999,370918 6893902.999999,372196 6892979.999999,372006 6892751.999999,369154 6892429.999999,368071 6891912.999999,366761 6891672.999999,365256 6889167.999999,365470 6887305.999999,364750 6887962.999999,364150 6890188.999999,363650 6894293.999999)))","petite
(< 30.000 hab.)","non ",-3.27897426290392,"2009-2013"
"Agon-Coutainville","MULTIPOLYGON(((363650 6894293.999999,363757 6894291.999999,364129 6894282.999999,364361 6894987.999999,364187 6895940.999999,363371 6896888.999999,363492 6898626.999999,363763 6899576.999999,365064 6902494.999999,366569 6901329.999999,366244 6899932.999999,366937 6899538.999999,367836 6899730.999999,368273 6899253.999999,369668 6899978.999999,369878 6900644.999999,370743 6901129.999999,371385 6901103.999999,371610 6900210.999999,372258 6899864.999999,372437 6897824.999999,373301 6897840.999999,374937 6897471.999999,373848 6897043.999999,372848 6896273.999999,372529 6896871.999999,371516 6897215.999999,369635 6896252.999999,369431 6896334.999999,369002 6895759.999999,368362 6895950.999999,367979 6894638.999999,367145 6894100.999999,366907 6892990.999999,368130 6893254.999999,369287 6894143.999999,370918 6893902.999999,372196 6892979.999999,372006 6892751.999999,369154 6892429.999999,368071 6891912.999999,366761 6891672.999999,365256 6889167.999999,365470 6887305.999999,364750 6887962.999999,364150 6890188.999999,363650 6894293.999999)))","petite
(< 30.000 hab.)","non ",-2.45184725430836,"2013-2018"
"Agon-Coutainville","MULTIPOLYGON(((363650 6894293.999999,363757 6894291.999999,364129 6894282.999999,364361 6894987.999999,364187 6895940.999999,363371 6896888.999999,363492 6898626.999999,363763 6899576.999999,365064 6902494.999999,366569 6901329.999999,366244 6899932.999999,366937 6899538.999999,367836 6899730.999999,368273 6899253.999999,369668 6899978.999999,369878 6900644.999999,370743 6901129.999999,371385 6901103.999999,371610 6900210.999999,372258 6899864.999999,372437 6897824.999999,373301 6897840.999999,374937 6897471.999999,373848 6897043.999999,372848 6896273.999999,372529 6896871.999999,371516 6897215.999999,369635 6896252.999999,369431 6896334.999999,369002 6895759.999999,368362 6895950.999999,367979 6894638.999999,367145 6894100.999999,366907 6892990.999999,368130 6893254.999999,369287 6894143.999999,370918 6893902.999999,372196 6892979.999999,372006 6892751.999999,369154 6892429.999999,368071 6891912.999999,366761 6891672.999999,365256 6889167.999999,365470 6887305.999999,364750 6887962.999999,364150 6890188.999999,363650 6894293.999999)))","petite
(< 30.000 hab.)","oui ",-3.27897426290392,"2009-2013"
"Agon-Coutainville","MULTIPOLYGON(((363650 6894293.999999,363757 6894291.999999,364129 6894282.999999,364361 6894987.999999,364187 6895940.999999,363371 6896888.999999,363492 6898626.999999,363763 6899576.999999,365064 6902494.999999,366569 6901329.999999,366244 6899932.999999,366937 6899538.999999,367836 6899730.999999,368273 6899253.999999,369668 6899978.999999,369878 6900644.999999,370743 6901129.999999,371385 6901103.999999,371610 6900210.999999,372258 6899864.999999,372437 6897824.999999,373301 6897840.999999,374937 6897471.999999,373848 6897043.999999,372848 6896273.999999,372529 6896871.999999,371516 6897215.999999,369635 6896252.999999,369431 6896334.999999,369002 6895759.999999,368362 6895950.999999,367979 6894638.999999,367145 6894100.999999,366907 6892990.999999,368130 6893254.999999,369287 6894143.999999,370918 6893902.999999,372196 6892979.999999,372006 6892751.999999,369154 6892429.999999,368071 6891912.999999,366761 6891672.999999,365256 6889167.999999,365470 6887305.999999,364750 6887962.999999,364150 6890188.999999,363650 6894293.999999)))","petite
(< 30.000 hab.)","oui ",-2.45184725430836,"2013-2018"
