"rowid";"annee";"typologie";"nombre_total";"pourc_par_an"
1;"2013";"police et gendarmerie nationales";2534;8,13587619598022
1;"2013";"équipements juridictionnels
d'ordre judiciaire";804;2,5813908688114
1;"2013";"établissement public ou privé de santé";2572;8,25788223206832
1;"2013";"bureau de poste";6853;22,002825402941
1;"2013";"établissement public d'éducation secondaire";6648;21,3446349450973
1;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1606;5,15636036730238
1;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";953;3,05978295768317
1;"2013";"service postal de remplacement
des bureaux de poste";3256;10,4539908816541
1;"2013";"service de l'emploi avec
conseiller spécialisé";1105;3,54780710203557
1;"2013";"direction des finances publiques";4815;15,4594490464265
1;"2018";"police et gendarmerie nationales";2446;7,9536955744155
1;"2018";"équipements juridictionnels
d'ordre judiciaire";819;2,66315481416447
1;"2018";"établissement public ou privé de santé";2438;7,92768185217702
1;"2018";"bureau de poste";6010;19,5428088316587
1;"2018";"établissement public d'éducation secondaire";6578;21,3897831105908
1;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1545;5,0239001073066
1;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";970;3,1541638214158
1;"2018";"service postal de remplacement
des bureaux de poste";4377;14,2327577797288
1;"2018";"service de l'emploi avec
conseiller spécialisé";1011;3,28748414788801
1;"2018";"direction des finances publiques";4559;14,8245699606542
