"tailles_2016";"2009";"2013";"2018";"all_2013-2018"
"grande
(> 200.000 hab.)";13779;17750;17476;-0,31
"moyenne";5902;8265;8190;-0,18
"petite
(< 30.000 hab.)";3791;5131;5087;-0,17
