"";"ID_AU2010";"TYPEQU";"NB_2013";"NB_2018";"LIB_MOD";"population";"LIBAU2010";"TAU2016";"NB_COM";"densite_2013";"densite_2018";"NB_2013_2";"TCAM";"TAU2016_group";"TAU2016_Insee";"reordonner"
"35";"144";"A206";11;6;"Bureau de poste";52926;"Saint-Dizier";"06";43;2,07837357820353;1,13365831538374;11;-11,4167289655243;"moyenne";"6: 50.000-100.000";"b"
"36";"146";"A207";3;2;"Relais poste commer√ßant";52633;"Laon";"06";74;0,569984610415519;0,379989740277013;3;-7,78920885182722;"moyenne";"6: 50.000-100.000";"b"
"37";"150";"A206";7;5;"Bureau de poste";48271;"Cognac";"05";35;1,45014605042365;1,03581860744546;7;-6,50801238515298;"moyenne";"5: 35.000-50.000";"b"
"38";"152";"A207";2;1;"Relais poste commer√ßant";50278;"Les Sables-d'Olonne";"06";4;0,3977882970683;0,19889414853415;2;-12,9449436703876;"moyenne";"6: 50.000-100.000";"b"
"39";"156";"A206";4;3;"Bureau de poste";44729;"Sarreguemines (partie franÁaise)";"05";24;0,894274408102126;0,670705806076595;4;-5,5912488705098;"moyenne";"5: 35.000-50.000";"b"
"40";"157";"A206";11;7;"Bureau de poste";47214;"Annonay";"05";25;2,32981742703435;1,48261108993095;11;-8,64315960065141;"moyenne";"5: 35.000-50.000";"b"
"41";"159";"A206";8;5;"Bureau de poste";43969;"Sallanches";"05";11;1,81946371307057;1,13716482066911;8;-8,97178984869599;"moyenne";"5: 35.000-50.000";"b"
"42";"160";"A206";4;3;"Bureau de poste";41694;"Lisieux";"05";36;0,959370652851729;0,719527989638797;4;-5,5912488705098;"moyenne";"5: 35.000-50.000";"b"
"43";"161";"A206";7;5;"Bureau de poste";42133;"Chaumont";"05";65;1,66140554909453;1,18671824935324;7;-6,50801238515298;"moyenne";"5: 35.000-50.000";"b"
"44";"163";"A207";3;2;"Relais poste commer√ßant";44725;"FougËres";"05";19;0,670765790944662;0,447177193963108;3;-7,78920885182722;"moyenne";"5: 35.000-50.000";"b"
"45";"166";"A206";7;4;"Bureau de poste";40419;"Verdun";"05";64;1,73185877928697;0,989633588163982;7;-10,5887039342019;"moyenne";"5: 35.000-50.000";"b"
"46";"171";"A206";7;4;"Bureau de poste";37676;"Sarrebourg";"05";52;1,85794670347171;1,06168383055526;7;-10,5887039342019;"moyenne";"5: 35.000-50.000";"b"
"47";"174";"A207";1;0;"Relais poste commer√ßant";36125;"Saint-Avold (partie franÁaise)";"05";9;0,27681660899654;0;1;-100;"moyenne";"5: 35.000-50.000";"b"
"48";"175";"A206";4;2;"Bureau de poste";35777;"…pernay";"05";19;1,1180367275065;0,559018363753249;4;-12,9449436703876;"moyenne";"5: 35.000-50.000";"b"
"49";"180";"A207";2;1;"Relais poste commer√ßant";36348;"Marmande";"05";22;0,550236601738748;0,275118300869374;2;-12,9449436703876;"moyenne";"5: 35.000-50.000";"b"
"50";"182";"A206";5;2;"Bureau de poste";32763;"Bar-le-Duc";"04";43;1,52611177242621;0,610444708970485;5;-16,7446792598127;"petite";"4: 25.000-35.000";"a"
"51";"184";"A206";3;2;"Bureau de poste";33618;"Saint-Amand-les-Eaux";"04";11;0,892379082634303;0,594919388422869;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"52";"188";"A206";6;4;"Bureau de poste";33028;"Granville";"04";17;1,81664042630495;1,21109361753664;6;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"53";"190";"A206";8;6;"Bureau de poste";31871;"GuÈret";"04";32;2,51011891688369;1,88258918766277;8;-5,5912488705098;"petite";"4: 25.000-35.000";"a"
"54";"191";"A207";1;0;"Relais poste commer√ßant";31337;"Tulle";"04";23;0,319111593324185;0;1;-100;"petite";"4: 25.000-35.000";"a"
"55";"192";"A208";1;0;"Agence postale communale";31794;"Thann - Cernay";"04";9;0,314524753098069;0;1;-100;"petite";"4: 25.000-35.000";"a"
"56";"195";"A206";4;3;"Bureau de poste";30707;"SablÈ-sur-Sarthe";"04";20;1,30263457843488;0,976975933826163;4;-5,5912488705098;"petite";"4: 25.000-35.000";"a"
"57";"196";"A206";3;1;"Bureau de poste";31305;"Pontarlier";"04";20;0,95831336847149;0,319437789490497;3;-19,7258438239769;"petite";"4: 25.000-35.000";"a"
"58";"197";"A206";8;6;"Bureau de poste";30302;"Saint-Gaudens";"04";40;2,64008976305194;1,98006732228896;8;-5,5912488705098;"petite";"4: 25.000-35.000";"a"
"59";"199";"A206";6;4;"Bureau de poste";34135;"Vire Normandie";"04";8;1,75772667350227;1,17181778233485;6;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"60";"202";"A206";5;3;"Bureau de poste";28907;"Millau";"04";13;1,72968485142007;1,03781091085204;5;-9,71195485525658;"petite";"4: 25.000-35.000";"a"
"61";"204";"A207";3;2;"Relais poste commer√ßant";29456;"VitrÈ";"04";12;1,01846822379142;0,678978815860945;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"62";"205";"A206";2;1;"Bureau de poste";26995;"Fontenay-le-Comte";"04";15;0,740877940359326;0,370438970179663;2;-12,9449436703876;"petite";"4: 25.000-35.000";"a"
"63";"206";"A206";2;1;"Bureau de poste";27408;"Mayenne";"04";16;0,729713952130765;0,364856976065382;2;-12,9449436703876;"petite";"4: 25.000-35.000";"a"
"64";"209";"A206";4;3;"Bureau de poste";28912;"Saint-Hilaire-de-Riez";"04";6;1,38350857775318;1,03763143331489;4;-5,5912488705098;"petite";"4: 25.000-35.000";"a"
"65";"211";"A206";3;2;"Bureau de poste";28580;"Thouars";"04";15;1,04968509447166;0,699790062981106;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"66";"213";"A206";2;1;"Bureau de poste";26551;"Hazebrouck";"04";4;0,753267296900305;0,376633648450153;2;-12,9449436703876;"petite";"4: 25.000-35.000";"a"
"67";"214";"A206";2;1;"Bureau de poste";27877;"Issoire";"04";28;0,717437313914697;0,358718656957348;2;-12,9449436703876;"petite";"4: 25.000-35.000";"a"
"68";"215";"A206";3;2;"Bureau de poste";27790;"Montbrison";"04";13;1,07952500899604;0,719683339330695;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"69";"217";"A206";3;2;"Bureau de poste";27458;"Castelsarrasin";"04";4;1,09257775511691;0,728385170077937;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"70";"219";"A206";3;2;"Bureau de poste";25141;"Mazamet";"04";8;1,19326995744004;0,795513304960025;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"71";"221";"A206";6;4;"Bureau de poste";24175;"La Bresse";"03";14;2,48190279214064;1,65460186142709;6;-7,78920885182722;"petite";"3: 20.000-25.000";"a"
"72";"222";"A206";2;1;"Bureau de poste";24229;"LunÈville";"03";8;0,82545709686739;0,412728548433695;2;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"73";"223";"A206";3;2;"Bureau de poste";25991;"Figeac";"04";33;1,15424570043477;0,769497133623177;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"74";"227";"A206";3;2;"Bureau de poste";25288;"Ch‚teau-Gontier-sur-Mayenne";"04";9;1,18633343878519;0,79088895919013;3;-7,78920885182722;"petite";"4: 25.000-35.000";"a"
"75";"227";"A208";2;1;"Agence postale communale";25288;"Ch‚teau-Gontier-sur-Mayenne";"04";9;0,79088895919013;0,395444479595065;2;-12,9449436703876;"petite";"4: 25.000-35.000";"a"
"76";"229";"A206";4;2;"Bureau de poste";24316;"Ch‚teaubriant";"03";10;1,64500740253331;0,822503701266656;4;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"77";"233";"A206";7;5;"Bureau de poste";22319;"Tergnier";"03";7;3,13634123392625;2,24024373851875;7;-6,50801238515298;"petite";"3: 20.000-25.000";"a"
"78";"234";"A206";2;1;"Bureau de poste";21992;"Gien";"03";7;0,909421607857403;0,454710803928701;2;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"79";"238";"A206";2;1;"Bureau de poste";24610;"Argentan";"03";19;0,812677773262901;0,406338886631451;2;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"80";"239";"A206";2;1;"Bureau de poste";23938;"Bayeux";"03";22;0,835491686857716;0,417745843428858;2;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"81";"240";"A206";4;3;"Bureau de poste";22330;"Bagnols-sur-CËze";"03";4;1,79131213613972;1,34348410210479;4;-5,5912488705098;"petite";"3: 20.000-25.000";"a"
"82";"242";"A206";2;1;"Bureau de poste";20892;"Lourdes";"03";33;0,957304231284702;0,478652115642351;2;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"83";"243";"A206";4;3;"Bureau de poste";21644;"Remiremont";"03";6;1,84808722971724;1,38606542228793;4;-5,5912488705098;"petite";"3: 20.000-25.000";"a"
"84";"248";"A206";3;2;"Bureau de poste";20885;"Castelnaudary";"03";16;1,43643763466603;0,957625089777352;3;-7,78920885182722;"petite";"3: 20.000-25.000";"a"
"85";"251";"A206";3;2;"Bureau de poste";19376;"Saverne";"02";9;1,54830718414533;1,03220478943022;3;-7,78920885182722;"petite";"2: 15.000-20.000";"a"
"86";"252";"A207";1;0;"Relais poste commer√ßant";20726;"Privas";"03";14;0,482485766669883;0;1;-100;"petite";"3: 20.000-25.000";"a"
"87";"253";"A206";3;2;"Bureau de poste";19663;"L'Aigle";"02";20;1,52570818288155;1,0171387885877;3;-7,78920885182722;"petite";"2: 15.000-20.000";"a"
