"";"TAU2016_Insee";"Nombre";"Moyenne"
"1";"1: < 15.000";456;-1,48304739481529
"2";"2: 15.000-20.000";52;-3,13907097513715
"3";"3: 20.000-25.000";27;-4,87676823608768
"4";"4: 25.000-35.000";45;-4,59023002716693
"5";"5: 35.000-50.000";32;-3,19232316555069
"6";"6: 50.000-100.000";60;-3,42356488453718
"7";"7: 100.000-200.000";40;-2,76632164258955
"8";"8: 200.000-500.000";30;-2,76631696370424
"9";"9: 500.000-2.400.000";16;-2,19736251840721
